,start,stop,label,duration,trial_num,open_latency,before_open,trial_start,lever_press,prox_to_trial_start,prox_to_lever_press,rms,zcr,centroid,bandwidth,flatness,rolloff,f0,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,25_kHz_call
192,344.05600000000004,344.19000000000005,USV_193,0.1340000000000145,1,78.21899999999997,False,192.321,270.54,151.73500000000004,73.51600000000008,0.0095515586435794,0.0280577461674528,16078.066623088134,14442.771801736975,5.262698810932017e-05,30946.344339622643,25722.055556106337,2.6295964829616336,6.008819642042225,5.421857259595959,15.64746849241745,11.335307445084506,15.616350241472515,61.78815866851975,0
193,346.603,346.61100000000005,USV_194,0.0080000000000381,1,78.21899999999997,False,192.321,270.54,154.282,76.06300000000005,0.0057690506801009,0.03916015625,21220.08701121923,23823.00465954534,0.0009248823706596,36581.25,21111.641503835337,2.624203610612057,4.862973917916453,6.2824132765375,10.033544088045428,11.666769972380411,15.26441922105768,34.4313449768235,0
194,346.761,346.798,USV_195,0.0369999999999777,1,78.21899999999997,False,192.321,270.54,154.44000000000003,76.22100000000006,0.0081808427348732,0.0251922607421875,16385.52521809569,14428.422103431112,7.985526996296015e-05,30679.6875,23332.149096739355,1.961080501344168,6.696776113582642,7.237752232950243,17.128514071234875,12.441120277549864,16.179716031978543,57.42173555947481,0
195,348.69100000000003,348.754,USV_196,0.0629999999999881,1,78.21899999999997,False,192.321,270.54,156.37000000000003,78.15100000000007,0.0083095617592334,0.0182823768028846,15656.822238793517,16320.034616958495,8.232611649408582e-05,31828.125,27406.21487823989,2.3430009464213857,7.743927126516236,8.209039673183451,17.32232007897832,12.048532097597583,17.154911678333352,56.63866874475512,0
196,348.82000000000005,348.96500000000003,USV_197,0.1449999999999818,1,78.21899999999997,False,192.321,270.54,156.49900000000005,78.28000000000009,0.0088446279987692,0.024242735745614,16705.263487690503,15211.467596970924,0.0001722233977106,32152.96052631579,27326.26299337945,2.479748327303006,6.614949133469113,6.323571606206776,17.05088085681637,12.914453142091483,16.108860244638137,60.6513555265342,0
197,352.636,352.682,USV_198,0.0459999999999922,1,78.21899999999997,False,192.321,270.54,160.31500000000003,82.09600000000006,0.0081731062382459,0.04073486328125,17934.359291105065,16491.276499258987,0.0006175878338228,32221.875,24725.862722159964,2.1392284434018665,7.303485863818038,6.601744105176692,16.3930402076336,11.028622163761977,14.134430476179343,56.578048442435296,0
198,352.84200000000004,352.87300000000005,USV_199,0.0310000000000059,1,78.21899999999997,False,192.321,270.54,160.52100000000004,82.30200000000008,0.0090437773615121,0.009765625,16527.081245240686,18364.26371175361,0.0001951195833071,33991.07142857143,29087.69472992994,2.744498883812688,6.247319981681916,4.886043839649004,14.002051878426403,11.479232251142118,14.714107414961829,51.98909716535176,0
199,353.793,353.802,USV_200,0.0090000000000145,1,78.21899999999997,False,192.321,270.54,161.472,83.25300000000004,0.0070629767142236,0.0123697916666666,18199.70026815545,22237.596159339228,0.0005741782650964,33781.25,27817.362875160037,1.5338991520963068,5.568508169425197,3.2402703974529525,11.963912326934077,12.888083783061838,16.33062218785082,36.68420200272226,0
200,353.88000000000005,353.913,USV_201,0.0329999999999586,1,78.21899999999997,False,192.321,270.54,161.55900000000003,83.34000000000009,0.0079468758776783,0.0184244791666666,16453.423043776103,18079.046869498437,0.0003381066857301,31731.25,26146.627145472416,2.2654833276950628,8.758832656219395,4.796372353397024,15.712241516733846,11.559408020980914,15.364941222416622,52.85247508473957,0
201,354.02200000000005,354.033,USV_202,0.0109999999999672,1,78.21899999999997,False,192.321,270.54,161.70100000000005,83.48200000000008,0.0090464446693658,0.0322265625,17950.603392402027,20157.122794044528,0.0001366022999962,34515.625,27273.80426240156,1.9797333236686496,8.214772353324596,6.088263786185593,11.81027025860101,9.83838808906346,13.310271190078732,42.75600452204862,0
